W,SCREEN,SpeedAcc,MTCSC,SHoTClean
3,1890.3087589120787,1885.9542388320644,976.2792058006982,718.0684070011273
4,1959.1950045526662,2226.18739126207,816.5821748833962,641.4221525601168
5,1999.2990396571156,2414.590505693455,765.5441825536708,627.9570454879524
6,2016.2177938456628,2509.934171655102,743.1103682780898,635.6058302798077
7,2023.0452453306616,2594.771485916009,742.2264308820908,633.6086050971239
8,2024.8316353747307,2678.134960693835,735.9065169878394,655.2380103146752
9,2024.9407073566092,2742.2159564399203,754.78338960846,679.209059718214
10,2024.98465676316,2800.0706303496245,783.056338043714,683.5142724618554
11,2024.98465676316,2844.191644112702,817.4230207417532,704.3894862308798
12,2024.98465676316,2879.1581818304658,855.9753772987651,705.6565642102973
13,2024.98465676316,2907.7794493503575,909.8852616906697,705.1038896048975
14,2024.98465676316,2927.0962122683645,966.9549077440674,694.1981955805439
15,2024.98465676316,2946.418920723203,1026.4634866688396,686.3384508996061
16,2024.98465676316,2966.2900886412763,1082.0730909360946,672.6619630781802
17,2024.98465676316,2985.484163701976,1122.2771081132396,675.1654879528787
18,2024.98465676316,3007.5356929077298,1174.9420968095492,670.3814174296479
19,2024.98465676316,3026.865385643596,1236.5922144587817,671.2144871544737
20,2024.98465676316,3048.409199093756,1288.5835173237863,669.9090857561299
21,2024.98465676316,3064.0751664373943,1347.1021962730567,670.4741810792051
22,2024.98465676316,3075.662886198446,1408.8412012017754,665.3217791443279
23,2024.98465676316,3077.3833514301773,1478.2397848205362,664.1365301201464
24,2024.98465676316,3070.955648754267,1520.4055457275888,661.4533452559192
25,2024.98465676316,3058.0666204635,1561.3920938542756,657.0235609790227
26,2024.98465676316,3042.9570850478835,1607.1768028945962,654.8433891027864
27,2024.98465676316,3026.975046189327,1658.7752200185844,654.1481156609292
28,2024.98465676316,3014.7753322887174,1686.5090244644593,649.7217774691484
29,2024.98465676316,3006.710915271747,1706.0691393966902,648.2152090447206
30,2024.98465676316,3005.6614065247163,1763.7607948439768,646.1853721630957
31,2024.98465676316,3010.047803951497,1799.8696548015532,648.193152875932
32,2024.98465676316,3018.5172304691596,1862.5707898036637,650.9593851821797
33,2024.98465676316,3027.9128387148785,1896.770988324964,648.8033145839089
34,2024.98465676316,3034.4601909556873,1918.560643456208,654.0288890779617
35,2024.98465676316,3041.933622080421,1941.2017408355389,653.6875227954664
36,2024.98465676316,3046.2295230360255,1961.1936205060042,655.7848313248936
37,2024.98465676316,3049.6629412175057,1989.2050014094546,658.8044413874029
38,2024.98465676316,3048.333962421629,2016.2906488229912,659.0809008015301
39,2024.98465676316,3047.67772459726,2037.595488692359,658.1781028292419
40,2024.98465676316,3053.9000317187124,2059.247575764496,661.5980047542273
41,2024.98465676316,3058.62974901919,2077.877973670709,660.8803747599345
42,2024.98465676316,3064.8079837407367,2099.018642726541,658.6022205916298
43,2024.98465676316,3074.9382909005662,2126.045807669025,660.1595937161228
44,2024.98465676316,3086.6682780764836,2130.8528419730455,657.9287255437532
45,2024.98465676316,3094.2056694539397,2158.808748316901,659.296678230744
46,2024.98465676316,3099.0996838661204,2171.670416931579,658.9482700750243
47,2024.98465676316,3097.367527065629,2177.7901002822773,659.2632329654243
48,2024.98465676316,3092.9249708361467,2191.6086371655615,659.6093224072881
49,2024.98465676316,3082.085779413317,2186.6134031232014,660.1521855877643
50,2024.98465676316,3070.3737206642286,2192.440946738603,660.0556160409371
51,2024.98465676316,3056.737082846691,2200.7692519664074,658.3861851732046
52,2024.98465676316,3047.1477348498656,2222.637436888651,655.1700632008457
53,2024.98465676316,3041.2034957321503,2234.959500805114,655.4830811982101
54,2024.98465676316,3038.816547763088,2253.9379609674775,655.8616443253965
55,2024.98465676316,3043.359965060137,2251.537475377666,661.1535884313886
56,2024.98465676316,3050.002210651144,2263.7372532378454,662.7665520749109
57,2024.98465676316,3059.6763444477347,2273.568547695902,662.7884745292387
